a_id;x_accel;y_accel;z_accel;timestamp
1;104;370;582;1466935996.4624662
1;410;528;588;1466935996.483172
1;751;602;562;1466935996.5039067
1;920;630;434;1466935996.5241435
1;920;748;354;1466935996.5443392
1;703;916;596;1466935996.5645182
1;104;278;738;1466935996.5848267
1;104;248;548;1466935996.6051667
1;345;472;648;1466935996.625519
1;714;578;462;1466935996.6459942
1;919;568;370;1466935996.6665123
1;920;772;356;1466935996.6870165
1;637;920;736;1466935996.707207
1;104;214;824;1466935996.7274613
1;104;162;262;1466935996.748034
1;218;622;598;1466935996.7685921
1;556;616;616;1466935996.7891288
1;919;622;446;1466935996.8093278
1;920;708;340;1466935996.8295336
1;698;852;670;1466935996.849874
1;104;312;868;1466935996.8703082
1;104;148;320;1466935996.890729
1;294;584;594;1466935996.9111893
1;589;574;642;1466935996.9315763
1;841;636;532;1466935996.9519787
1;920;622;294;1466935996.972118
1;873;780;428;1466935996.9922073
1;131;482;822;1466935997.0129263
1;104;104;564;1466935997.0338447
1;168;496;604;1466935997.0542278
1;610;580;580;1466935997.075553
1;865;616;482;1466935997.0960414
1;920;640;356;1466935997.116598
1;920;824;384;1466935997.1370747
1;301;774;772;1466935997.1577017
1;104;104;650;1466935997.1784062
1;104;432;542;1466935997.1998866
1;503;588;602;1466935997.2206268
1;819;610;424;1466935997.2411232
1;920;584;328;1466935997.2616627
1;920;740;324;1466935997.2821627
1;565;850;694;1466935997.3026397
1;104;118;748;1466935997.3230336
1;104;350;414;1466935997.3434358
1;387;600;680;1466935997.363712
1;668;576;626;1466935997.3840115
1;905;582;402;1466935997.4042485
1;920;690;280;1466935997.4243584
1;816;898;658;1466935997.4445307
1;104;450;900;1466935997.4648414
1;104;104;394;1466935997.4851794
1;217;580;606;1466935997.5055096
1;557;590;620;1466935997.5258682
1;873;616;408;1466935997.5464125
1;920;596;312;1466935997.5666535
1;920;782;416;1466935997.5872514
1;237;654;864;1466935997.6079013
1;104;104;558;1466935997.6285954
1;203;476;538;1466935997.6492527
1;561;518;548;1466935997.6694403
1;768;556;524;1466935997.689618
1;919;580;376;1466935997.709938
1;920;724;376;1466935997.7303355
1;479;772;726;1466935997.7507246
1;104;128;700;1466935997.7710886
1;104;342;436;1466935997.7916234
1;368;546;628;1466935997.812262
1;669;596;556;1466935997.8329148
1;919;592;436;1466935997.8538265
1;920;674;324;1466935997.8742852
1;685;842;612;1466935997.894503
1;104;258;804;1466935997.914674
1;104;172;424;1466935997.9350276
1;250;542;622;1466935997.9559555
1;614;576;616;1466935997.976456
1;911;552;428;1466935997.997038
1;920;600;306;1466935998.017576
1;880;734;490;1466935998.0379403
1;209;552;842;1466935998.0583358
1;104;104;590;1466935998.0792108
1;256;502;630;1466935998.099317
